D:\learningLibrary\Good\1.bmp 1 0 0 242 196
D:\learningLibrary\Good\2.bmp 1 0 0 227 236
D:\learningLibrary\Good\3.bmp 1 0 0 229 244
D:\learningLibrary\Good\4.bmp 1 0 0 424 323
D:\learningLibrary\Good\5.bmp 1 0 0 266 214
D:\learningLibrary\Good\6.bmp 1 0 0 378 354
D:\learningLibrary\Good\7.bmp 1 0 0 154 184
D:\learningLibrary\Good\8.bmp 1 0 0 197 200
D:\learningLibrary\Good\9.bmp 1 0 0 387 335
D:\learningLibrary\Good\10.bmp 1 0 0 387 335
D:\learningLibrary\Good\11.bmp 1 0 0 305 300
D:\learningLibrary\Good\12.bmp 1 0 0 378 379
D:\learningLibrary\Good\13.bmp 1 0 0 262 263
D:\learningLibrary\Good\14.bmp 1 0 0 278 240
D:\learningLibrary\Good\15.bmp 1 0 0 250 278
D:\learningLibrary\Good\16.bmp 1 0 0 243 254
D:\learningLibrary\Good\17.bmp 1 0 0 215 221
D:\learningLibrary\Good\18.bmp 1 0 0 190 174
D:\learningLibrary\Good\19.bmp 1 0 0 298 236
D:\learningLibrary\Good\20.bmp 1 0 0 143 115
D:\learningLibrary\Good\21.bmp 1 0 0 236 291
D:\learningLibrary\Good\22.bmp 1 0 0 203 250
D:\learningLibrary\Good\23.bmp 1 0 0 180 209
D:\learningLibrary\Good\24.bmp 1 0 0 219 214
D:\learningLibrary\Good\25.bmp 1 0 0 124 148
D:\learningLibrary\Good\26.bmp 1 0 0 155 176
D:\learningLibrary\Good\27.bmp 1 0 0 155 158
D:\learningLibrary\Good\28.bmp 1 0 0 203 255
D:\learningLibrary\Good\29.bmp 1 0 0 184 123
D:\learningLibrary\Good\30.bmp 1 0 0 207 183
D:\learningLibrary\Good\31.bmp 1 0 0 191 182
D:\learningLibrary\Good\32.bmp 1 0 0 204 207
D:\learningLibrary\Good\33.bmp 1 0 0 261 193
D:\learningLibrary\Good\34.bmp 1 0 0 208 203
D:\learningLibrary\Good\35.bmp 1 0 0 223 243
D:\learningLibrary\Good\36.bmp 1 0 0 180 190
D:\learningLibrary\Good\37.bmp 1 0 0 132 156
D:\learningLibrary\Good\38.bmp 1 0 0 136 141
D:\learningLibrary\Good\39.bmp 1 0 0 136 140
D:\learningLibrary\Good\40.bmp 1 0 0 210 204
D:\learningLibrary\Good\41.bmp 1 0 0 141 115
D:\learningLibrary\Good\42.bmp 1 0 0 151 150
D:\learningLibrary\Good\43.bmp 1 0 0 186 184
D:\learningLibrary\Good\44.bmp 1 0 0 158 185
D:\learningLibrary\Good\45.bmp 1 0 0 395 400
D:\learningLibrary\Good\46.bmp 1 0 0 265 271
D:\learningLibrary\Good\47.bmp 1 0 0 388 345
D:\learningLibrary\Good\48.bmp 1 0 0 255 259
D:\learningLibrary\Good\49.bmp 1 0 0 302 274
D:\learningLibrary\Good\50.bmp 1 0 0 280 277
D:\learningLibrary\Good\51.bmp 1 0 0 219 216
D:\learningLibrary\Good\52.bmp 1 0 0 321 339
D:\learningLibrary\Good\53.bmp 1 0 0 292 254
D:\learningLibrary\Good\54.bmp 1 0 0 193 288
D:\learningLibrary\Good\55.bmp 1 0 0 254 255
D:\learningLibrary\Good\56.bmp 1 0 0 246 179
D:\learningLibrary\Good\57.bmp 1 0 0 218 208
D:\learningLibrary\Good\58.bmp 1 0 0 211 246
